directory,functions,tested,tag
drivers/infiniband/hw/cxgb4,255,0,v3.11
drivers/infiniband/hw/ehca,255,0,v3.11
drivers/infiniband/hw/ipath,512,1,v3.11
drivers/infiniband/hw/mlx4,311,0,v3.11
drivers/infiniband/hw/mlx5,206,0,v3.11
drivers/infiniband/hw/mthca,349,0,v3.11
drivers/infiniband/hw/nes,269,0,v3.11
drivers/infiniband/hw/ocrdma,207,0,v3.11
drivers/infiniband/hw/qib,897,1,v3.11
drivers/infiniband/ulp/ipoib,191,0,v3.11
drivers/infiniband/ulp/iser,77,0,v3.11
drivers/infiniband/ulp/isert,71,0,v3.11
drivers/infiniband/ulp/srp,80,0,v3.11
drivers/infiniband/ulp/srpt,127,0,v3.11
drivers/input/joystick/iforce,41,0,v3.11
drivers/isdn/hardware/avm,136,0,v3.11
drivers/isdn/hardware/eicon,645,2,v3.11
drivers/isdn/hardware/mISDN,402,1,v3.11
drivers/media/common/b2c2,73,0,v3.11
drivers/media/common/saa7146,120,0,v3.11
drivers/media/common/siano,107,0,v3.11
drivers/media/i2c/cx25840,114,0,v3.11
drivers/media/i2c/m5mols,48,0,v3.11
drivers/media/i2c/s5c73m3,80,0,v3.11
drivers/media/i2c/smiapp,71,0,v3.11
drivers/media/i2c/soc_camera,362,0,v3.11
drivers/media/mmc/siano,6,0,v3.11
drivers/media/pci/b2c2,19,0,v3.11
drivers/media/pci/bt8xx,370,0,v3.11
drivers/media/pci/cx18,293,0,v3.11
drivers/media/pci/cx23885,367,0,v3.11
drivers/media/pci/cx25821,145,0,v3.11
drivers/media/pci/cx88,308,0,v3.11
drivers/media/pci/ddbridge,65,0,v3.11
drivers/media/pci/dm1105,34,0,v3.11
drivers/media/pci/ivtv,328,0,v3.11
drivers/media/pci/mantis,84,0,v3.11
drivers/media/pci/meye,65,0,v3.11
drivers/media/pci/ngene,81,0,v3.11
drivers/media/pci/pluto2,32,0,v3.11
drivers/media/pci/pt1,96,0,v3.11
drivers/media/pci/saa7134,331,0,v3.11
drivers/media/pci/saa7146,45,0,v3.11
drivers/media/pci/saa7164,199,0,v3.11
drivers/media/pci/sta2x11,37,0,v3.11
drivers/media/pci/ttpci,316,0,v3.11
drivers/media/pci/zoran,196,0,v3.11
drivers/media/platform/blackfin,54,0,v3.11
drivers/media/platform/davinci,443,0,v3.11
drivers/media/platform/exynos-gsc,86,1,v3.11
drivers/media/platform/exynos4-is,425,1,v3.11
drivers/media/platform/marvell-ccic,115,0,v3.11
drivers/media/platform/omap,69,0,v3.11
drivers/media/platform/omap3isp,472,0,v3.11
drivers/media/platform/s3c-camif,99,0,v3.11
drivers/media/platform/s5p-g2d,45,1,v3.11
drivers/media/platform/s5p-jpeg,58,3,v3.11
drivers/media/platform/s5p-mfc,290,0,v3.11
drivers/media/platform/s5p-tv,188,0,v3.11
drivers/media/platform/soc_camera,355,0,v3.11
drivers/media/radio/si470x,46,0,v3.11
drivers/media/radio/wl128x,122,0,v3.11
drivers/media/rc/keymaps,202,0,v3.11
drivers/media/usb/au0828,114,0,v3.11
drivers/media/usb/b2c2,17,0,v3.11
drivers/media/usb/cpia2,97,0,v3.11
drivers/media/usb/cx231xx,295,0,v3.11
drivers/media/usb/dvb-usb,607,0,v3.11
drivers/media/usb/dvb-usb-v2,397,0,v3.11
drivers/media/usb/em28xx,204,0,v3.11
drivers/media/usb/gspca,1263,0,v3.11
drivers/media/usb/hdpvr,58,0,v3.11
drivers/media/usb/pvrusb2,429,0,v3.11
drivers/media/usb/pwc,77,0,v3.11
drivers/media/usb/s2255,73,0,v3.11
drivers/media/usb/siano,15,0,v3.11
drivers/media/usb/sn9c102,152,0,v3.11
drivers/media/usb/stk1160,56,0,v3.11
drivers/media/usb/stkwebcam,55,0,v3.11
drivers/media/usb/tlg2300,146,0,v3.11
drivers/media/usb/tm6000,155,0,v3.11
drivers/media/usb/ttusb-budget,40,0,v3.11
drivers/media/usb/ttusb-dec,54,0,v3.11
drivers/media/usb/usbtv,22,0,v3.11
drivers/media/usb/usbvision,129,0,v3.11
drivers/media/usb/uvc,180,0,v3.11
drivers/media/usb/zr364xx,42,0,v3.11
drivers/mtd/nand/bcm47xxnflash,15,0,v3.11
drivers/mtd/nand/gpmi-nand,72,0,v3.11
drivers/net/can/c_can,59,0,v3.11
drivers/net/can/cc770,43,0,v3.11
drivers/net/can/mscan,23,0,v3.11
drivers/net/can/sja1000,128,0,v3.11
drivers/net/can/softing,44,0,v3.11
drivers/net/can/usb,170,0,v3.11
drivers/net/ethernet/3com,221,0,v3.11
drivers/net/ethernet/8390,329,0,v3.11
drivers/net/ethernet/adaptec,34,0,v3.11
drivers/net/ethernet/adi,56,0,v3.11
drivers/net/ethernet/aeroflex,45,0,v3.11
drivers/net/ethernet/allwinner,29,0,v3.11
drivers/net/ethernet/alteon,38,0,v3.11
drivers/net/ethernet/amd,387,0,v3.11
drivers/net/ethernet/apple,91,0,v3.11
drivers/net/ethernet/arc,20,0,v3.11
drivers/net/ethernet/atheros,525,0,v3.11
drivers/net/ethernet/broadcom,2170,0,v3.11
drivers/net/ethernet/brocade,660,0,v3.11
drivers/net/ethernet/cadence,73,0,v3.11
drivers/net/ethernet/calxeda,55,0,v3.11
drivers/net/ethernet/chelsio,1274,0,v3.11
drivers/net/ethernet/cirrus,79,0,v3.11
drivers/net/ethernet/cisco,219,0,v3.11
drivers/net/ethernet/davicom,59,0,v3.11
drivers/net/ethernet/dec,377,0,v3.11
drivers/net/ethernet/dlink,81,0,v3.11
drivers/net/ethernet/emulex,292,1,v3.11
drivers/net/ethernet/faraday,154,0,v3.11
drivers/net/ethernet/freescale,478,6,v3.11
drivers/net/ethernet/fujitsu,21,0,v3.11
drivers/net/ethernet/hp,47,1,v3.11
drivers/net/ethernet/i825xx,96,0,v3.11
drivers/net/ethernet/ibm,388,0,v3.11
drivers/net/ethernet/icplus,52,0,v3.11
drivers/net/ethernet/intel,2321,0,v3.11
drivers/net/ethernet/marvell,528,0,v3.11
drivers/net/ethernet/mellanox,912,12,v3.11
drivers/net/ethernet/micrel,427,0,v3.11
drivers/net/ethernet/microchip,66,0,v3.11
drivers/net/ethernet/myricom,80,0,v3.11
drivers/net/ethernet/natsemi,126,0,v3.11
drivers/net/ethernet/neterion,412,0,v3.11
drivers/net/ethernet/nuvoton,40,0,v3.11
drivers/net/ethernet/nvidia,122,0,v3.11
drivers/net/ethernet/nxp,39,0,v3.11
drivers/net/ethernet/octeon,43,0,v3.11
drivers/net/ethernet/oki-semi,121,0,v3.11
drivers/net/ethernet/packetengines,45,0,v3.11
drivers/net/ethernet/pasemi,59,1,v3.11
drivers/net/ethernet/qlogic,1383,0,v3.11
drivers/net/ethernet/rdc,34,0,v3.11
drivers/net/ethernet/realtek,422,0,v3.11
drivers/net/ethernet/renesas,84,0,v3.11
drivers/net/ethernet/seeq,52,1,v3.11
drivers/net/ethernet/sfc,695,19,v3.11
drivers/net/ethernet/sgi,81,0,v3.11
drivers/net/ethernet/silan,41,0,v3.11
drivers/net/ethernet/sis,117,0,v3.11
drivers/net/ethernet/smsc,337,0,v3.11
drivers/net/ethernet/stmicro,229,0,v3.11
drivers/net/ethernet/sun,719,0,v3.11
drivers/net/ethernet/tehuti,79,0,v3.11
drivers/net/ethernet/ti,274,0,v3.11
drivers/net/ethernet/tile,92,0,v3.11
drivers/net/ethernet/toshiba,233,0,v3.11
drivers/net/ethernet/tundra,39,0,v3.11
drivers/net/ethernet/via,172,0,v3.11
drivers/net/ethernet/wiznet,70,0,v3.11
drivers/net/ethernet/xilinx,103,0,v3.11
drivers/net/ethernet/xircom,34,0,v3.11
drivers/net/ethernet/xscale,37,0,v3.11
drivers/net/fddi/skfp,296,0,v3.11
drivers/net/wan/lmc,72,0,v3.11
drivers/net/wimax/i2400m,180,0,v3.11
drivers/net/wireless/ath,3047,0,v3.11
drivers/net/wireless/b43,852,0,v3.11
drivers/net/wireless/b43legacy,337,0,v3.11
drivers/net/wireless/brcm80211,1398,0,v3.11
drivers/net/wireless/cw1200,287,0,v3.11
drivers/net/wireless/hostap,391,0,v3.11
drivers/net/wireless/ipw2x00,605,0,v3.11
drivers/net/wireless/iwlegacy,638,0,v3.11
drivers/net/wireless/iwlwifi,1023,0,v3.11
drivers/net/wireless/libertas,335,0,v3.11
drivers/net/wireless/libertas_tf,69,0,v3.11
drivers/net/wireless/mwifiex,518,0,v3.11
drivers/net/wireless/orinoco,251,0,v3.11
drivers/net/wireless/p54,154,0,v3.11
drivers/net/wireless/prism54,132,0,v3.11
drivers/net/wireless/rt2x00,688,0,v3.11
drivers/net/wireless/rtl818x,110,0,v3.11
drivers/net/wireless/rtlwifi,1357,0,v3.11
drivers/net/wireless/ti,739,3,v3.11
drivers/net/wireless/zd1211rw,235,2,v3.11
drivers/pci/pcie/aer,75,0,v3.11
drivers/scsi/aic7xxx/aicasm,29,1,v3.11
drivers/scsi/cxgbi/cxgb3i,41,0,v3.11
drivers/scsi/cxgbi/cxgb4i,46,0,v3.11
drivers/staging/ced1401/userspace,11,0,v3.11
drivers/staging/comedi/drivers,2065,2,v3.11
drivers/staging/comedi/kcomedilib,7,0,v3.11
drivers/staging/ft1000/ft1000-pcmcia,51,0,v3.11
drivers/staging/ft1000/ft1000-usb,61,0,v3.11
drivers/staging/iio/Documentation,7,0,v3.11
drivers/staging/iio/accel,110,0,v3.11
drivers/staging/iio/adc,158,0,v3.11
drivers/staging/iio/addac,94,0,v3.11
drivers/staging/iio/cdc,33,0,v3.11
drivers/staging/iio/frequency,33,0,v3.11
drivers/staging/iio/gyro,17,0,v3.11
drivers/staging/iio/impedance-analyzer,20,0,v3.11
drivers/staging/iio/light,100,0,v3.11
drivers/staging/iio/magnetometer,21,0,v3.11
drivers/staging/iio/meter,123,0,v3.11
drivers/staging/iio/resolver,32,0,v3.11
drivers/staging/iio/trigger,13,0,v3.11
drivers/staging/imx-drm/ipu-v3,96,0,v3.11
drivers/staging/lustre/lnet,770,55,v3.11
drivers/staging/lustre/lustre,4596,51,v3.11
drivers/staging/media/as102,56,0,v3.11
drivers/staging/media/cxd2099,28,1,v3.11
drivers/staging/media/davinci_vpfe,300,0,v3.11
drivers/staging/media/dt3155v4l,41,0,v3.11
drivers/staging/media/go7007,143,0,v3.11
drivers/staging/media/lirc,176,10,v3.11
drivers/staging/media/solo6x10,175,0,v3.11
drivers/staging/rtl8187se/ieee80211,213,0,v3.11
drivers/staging/rtl8192e/rtl8192e,332,0,v3.11
drivers/staging/rtl8192u/ieee80211,375,3,v3.11
drivers/staging/silicom/bypasslib,50,0,v3.11
drivers/staging/tidspbridge/core,117,0,v3.11
drivers/staging/tidspbridge/dynload,57,0,v3.11
drivers/staging/tidspbridge/gen,8,0,v3.11
drivers/staging/tidspbridge/hw,18,0,v3.11
drivers/staging/tidspbridge/pmgr,189,1,v3.11
drivers/staging/tidspbridge/rmgr,203,0,v3.11
drivers/staging/usbip/userspace,115,0,v3.11
drivers/staging/vme/devices,37,0,v3.11
drivers/staging/zcache/ramster,206,0,v3.11
drivers/tty/serial/8250,259,1,v3.11
drivers/tty/serial/cpm_uart,46,0,v3.11
drivers/tty/serial/jsm,59,0,v3.11
drivers/usb/host/whci,98,0,v3.11
drivers/usb/misc/sisusbvga,148,0,v3.11
drivers/uwb/i1480/dfu,28,0,v3.11
drivers/video/mmp/fb,18,0,v3.11
drivers/video/mmp/hw,21,0,v3.11
drivers/video/mmp/panel,3,0,v3.11
drivers/video/omap2/displays,219,0,v3.11
drivers/video/omap2/displays-new,220,0,v3.11
drivers/video/omap2/dss,882,0,v3.11
drivers/video/omap2/omapfb,94,0,v3.11
net/dccp/ccids/lib,37,0,v3.11
sound/aoa/soundbus/i2sbus,50,0,v3.11
sound/core/seq/oss,120,0,v3.11
tools/perf/arch/arm,1,0,v3.11
tools/perf/arch/powerpc,2,0,v3.11
tools/perf/arch/s390,1,0,v3.11
tools/perf/arch/sh,1,0,v3.11
tools/perf/arch/sparc,1,0,v3.11
tools/perf/arch/x86,4,0,v3.11
tools/perf/scripts/python,4,0,v3.11
tools/perf/tests/attr,5,2,v3.11
tools/perf/ui/browsers,103,0,v3.11
tools/perf/ui/gtk,30,0,v3.11
tools/perf/ui/stdio,13,0,v3.11
tools/perf/ui/tui,23,0,v3.11
tools/perf/util/scripting-engines,29,0,v3.11
tools/power/cpupower/bench,14,0,v3.11
tools/power/cpupower/debug,16,1,v3.11
tools/power/cpupower/lib,51,0,v3.11
tools/power/cpupower/utils,150,1,v3.11
tools/power/x86/turbostat,59,1,v3.11
tools/power/x86/x86_energy_perf_policy,9,1,v3.11
tools/testing/selftests/breakpoints,15,6,v3.11
tools/testing/selftests/efivarfs,2,0,v3.11
tools/testing/selftests/ipc,5,0,v3.11
tools/testing/selftests/kcmp,2,0,v3.11
tools/testing/selftests/mqueue,29,2,v3.11
tools/testing/selftests/net,49,13,v3.11
tools/testing/selftests/ptrace,6,0,v3.11
tools/testing/selftests/timers,8,1,v3.11
tools/testing/selftests/vm,23,2,v3.11
arch/cris/arch-v32/drivers/mach-a3,23,0,v3.11
arch/cris/arch-v32/drivers/mach-fs,18,0,v3.11
arch/cris/arch-v32/drivers/pci,9,0,v3.11
arch/ia64/hp/sim/boot,8,0,v3.11
arch/ia64/sn/kernel/sn2,78,0,v3.11
arch/ia64/sn/pci/pcibr,35,0,v3.11
arch/mips/loongson/common/cs5536,24,0,v3.11
arch/powerpc/platforms/cell/spufs,435,0,v3.11
arch/sh/boards/mach-se/7206,7,0,v3.11
arch/sh/boards/mach-se/7343,7,0,v3.11
arch/sh/boards/mach-se/770x,4,0,v3.11
arch/sh/boards/mach-se/7721,3,0,v3.11
arch/sh/boards/mach-se/7722,6,0,v3.11
arch/sh/boards/mach-se/7724,10,0,v3.11
arch/sh/boards/mach-se/7751,2,0,v3.11
arch/sh/boards/mach-se/7780,3,0,v3.11
arch/sh/kernel/cpu/irq,11,0,v3.11
arch/sh/kernel/cpu/sh2,8,0,v3.11
arch/sh/kernel/cpu/sh2a,58,0,v3.11
arch/sh/kernel/cpu/sh3,48,0,v3.11
arch/sh/kernel/cpu/sh4,88,0,v3.11
arch/sh/kernel/cpu/sh4a,140,0,v3.11
arch/sh/kernel/cpu/sh5,16,0,v3.11
arch/sh/kernel/cpu/shmobile,6,0,v3.11
arch/x86/kernel/cpu/mcheck,180,1,v3.11
arch/x86/kernel/cpu/mtrr,107,0,v3.11
drivers/gpu/drm/nouveau/core,1289,0,v3.11
drivers/gpu/drm/nouveau/dispnv04,138,0,v3.11
drivers/media/usb/gspca/gl860,48,0,v3.11
drivers/media/usb/gspca/m5602,100,0,v3.11
drivers/media/usb/gspca/stv06xx,68,0,v3.11
drivers/net/can/usb/peak_usb,77,0,v3.11
drivers/net/ethernet/atheros/alx,106,0,v3.11
drivers/net/ethernet/atheros/atl1c,127,0,v3.11
drivers/net/ethernet/atheros/atl1e,107,0,v3.11
drivers/net/ethernet/atheros/atlx,185,0,v3.11
drivers/net/ethernet/broadcom/bnx2x,1146,0,v3.11
drivers/net/ethernet/brocade/bna,660,0,v3.11
drivers/net/ethernet/chelsio/cxgb,254,0,v3.11
drivers/net/ethernet/chelsio/cxgb3,488,0,v3.11
drivers/net/ethernet/chelsio/cxgb4,365,0,v3.11
drivers/net/ethernet/chelsio/cxgb4vf,167,0,v3.11
drivers/net/ethernet/cisco/enic,219,0,v3.11
drivers/net/ethernet/dec/tulip,377,0,v3.11
drivers/net/ethernet/emulex/benet,292,1,v3.11
drivers/net/ethernet/freescale/fs_enet,116,6,v3.11
drivers/net/ethernet/ibm/ehea,165,0,v3.11
drivers/net/ethernet/ibm/emac,178,0,v3.11
drivers/net/ethernet/intel/e1000,247,0,v3.11
drivers/net/ethernet/intel/e1000e,490,0,v3.11
drivers/net/ethernet/intel/igb,465,0,v3.11
drivers/net/ethernet/intel/igbvf,128,0,v3.11
drivers/net/ethernet/intel/ixgb,121,0,v3.11
drivers/net/ethernet/intel/ixgbe,632,0,v3.11
drivers/net/ethernet/intel/ixgbevf,145,0,v3.11
drivers/net/ethernet/mellanox/mlx4,734,10,v3.11
drivers/net/ethernet/mellanox/mlx5,178,2,v3.11
drivers/net/ethernet/myricom/myri10ge,80,0,v3.11
drivers/net/ethernet/neterion/vxge,277,0,v3.11
drivers/net/ethernet/oki-semi/pch_gbe,121,0,v3.11
drivers/net/ethernet/qlogic/netxen,272,0,v3.11
drivers/net/ethernet/qlogic/qlcnic,745,0,v3.11
drivers/net/ethernet/qlogic/qlge,241,0,v3.11
drivers/net/ethernet/stmicro/stmmac,229,0,v3.11
drivers/net/wireless/ath/ar5523,59,0,v3.11
drivers/net/wireless/ath/ath10k,377,0,v3.11
drivers/net/wireless/ath/ath5k,327,0,v3.11
drivers/net/wireless/ath/ath6kl,649,0,v3.11
drivers/net/wireless/ath/ath9k,1211,0,v3.11
drivers/net/wireless/ath/carl9170,223,0,v3.11
drivers/net/wireless/ath/wil6210,164,0,v3.11
drivers/net/wireless/brcm80211/brcmfmac,519,0,v3.11
drivers/net/wireless/brcm80211/brcmsmac,859,0,v3.11
drivers/net/wireless/brcm80211/brcmutil,20,0,v3.11
drivers/net/wireless/iwlwifi/dvm,459,0,v3.11
drivers/net/wireless/iwlwifi/mvm,359,0,v3.11
drivers/net/wireless/iwlwifi/pcie,119,0,v3.11
drivers/net/wireless/rtl818x/rtl8180,55,0,v3.11
drivers/net/wireless/rtl818x/rtl8187,55,0,v3.11
drivers/net/wireless/rtlwifi/rtl8188ee,204,0,v3.11
drivers/net/wireless/rtlwifi/rtl8192c,105,0,v3.11
drivers/net/wireless/rtlwifi/rtl8192ce,88,0,v3.11
drivers/net/wireless/rtlwifi/rtl8192cu,150,0,v3.11
drivers/net/wireless/rtlwifi/rtl8192de,199,0,v3.11
drivers/net/wireless/rtlwifi/rtl8192se,132,0,v3.11
drivers/net/wireless/rtlwifi/rtl8723ae,232,0,v3.11
drivers/net/wireless/ti/wl1251,181,0,v3.11
drivers/net/wireless/ti/wl12xx,62,0,v3.11
drivers/net/wireless/ti/wl18xx,62,0,v3.11
drivers/net/wireless/ti/wlcore,432,3,v3.11
drivers/staging/comedi/drivers/addi-data,175,0,v3.11
drivers/staging/lustre/lnet/klnds,289,0,v3.11
drivers/staging/lustre/lnet/lnet,248,0,v3.11
drivers/staging/lustre/lnet/selftest,233,55,v3.11
drivers/staging/lustre/lustre/fid,50,0,v3.11
drivers/staging/lustre/lustre/fld,68,0,v3.11
drivers/staging/lustre/lustre/lclient,78,0,v3.11
drivers/staging/lustre/lustre/ldlm,330,0,v3.11
drivers/staging/lustre/lustre/libcfs,450,8,v3.11
drivers/staging/lustre/lustre/llite,535,0,v3.11
drivers/staging/lustre/lustre/lmv,82,0,v3.11
drivers/staging/lustre/lustre/lov,341,0,v3.11
drivers/staging/lustre/lustre/lvfs,32,0,v3.11
drivers/staging/lustre/lustre/mdc,128,0,v3.11
drivers/staging/lustre/lustre/mgc,45,0,v3.11
drivers/staging/lustre/lustre/obdclass,938,43,v3.11
drivers/staging/lustre/lustre/obdecho,113,0,v3.11
drivers/staging/lustre/lustre/osc,332,0,v3.11
drivers/staging/lustre/lustre/ptlrpc,1074,0,v3.11
drivers/staging/usbip/userspace/libsrc,55,0,v3.11
drivers/staging/usbip/userspace/src,60,0,v3.11
tools/perf/arch/arm/util,1,0,v3.11
tools/perf/arch/powerpc/util,2,0,v3.11
tools/perf/arch/s390/util,1,0,v3.11
tools/perf/arch/sh/util,1,0,v3.11
tools/perf/arch/sparc/util,1,0,v3.11
tools/perf/arch/x86/util,4,0,v3.11
tools/perf/scripts/python/Perf-Trace-Util,4,0,v3.11
tools/power/cpupower/debug/i386,13,0,v3.11
tools/power/cpupower/debug/kernel,3,1,v3.11
tools/power/cpupower/utils/helpers,55,0,v3.11
tools/power/cpupower/utils/idle_monitor,56,1,v3.11
drivers/gpu/drm/nouveau/core/core,108,0,v3.11
drivers/gpu/drm/nouveau/core/engine,528,0,v3.11
drivers/gpu/drm/nouveau/core/subdev,653,0,v3.11
drivers/net/ethernet/mellanox/mlx5/core,178,2,v3.11
drivers/net/wireless/brcm80211/brcmsmac/phy,375,0,v3.11
drivers/staging/lustre/lnet/klnds/o2iblnd,149,0,v3.11
drivers/staging/lustre/lnet/klnds/socklnd,140,0,v3.11
drivers/staging/lustre/lustre/libcfs/linux,145,2,v3.11
drivers/staging/lustre/lustre/obdclass/linux,24,0,v3.11
drivers/staging/lustre/lustre/ptlrpc/gss,306,0,v3.11
drivers/gpu/drm/nouveau/core/engine/bsp,6,0,v3.11
drivers/gpu/drm/nouveau/core/engine/copy,9,0,v3.11
drivers/gpu/drm/nouveau/core/engine/crypt,6,0,v3.11
drivers/gpu/drm/nouveau/core/engine/device,21,0,v3.11
drivers/gpu/drm/nouveau/core/engine/disp,137,0,v3.11
drivers/gpu/drm/nouveau/core/engine/dmaobj,9,0,v3.11
drivers/gpu/drm/nouveau/core/engine/fifo,98,0,v3.11
drivers/gpu/drm/nouveau/core/engine/graph,177,0,v3.11
drivers/gpu/drm/nouveau/core/engine/mpeg,19,0,v3.11
drivers/gpu/drm/nouveau/core/engine/ppp,3,0,v3.11
drivers/gpu/drm/nouveau/core/engine/software,24,0,v3.11
drivers/gpu/drm/nouveau/core/engine/vp,6,0,v3.11
drivers/gpu/drm/nouveau/core/subdev/bar,23,0,v3.11
drivers/gpu/drm/nouveau/core/subdev/bios,177,0,v3.11
drivers/gpu/drm/nouveau/core/subdev/bus,12,0,v3.11
drivers/gpu/drm/nouveau/core/subdev/clock,12,0,v3.11
drivers/gpu/drm/nouveau/core/subdev/devinit,28,0,v3.11
drivers/gpu/drm/nouveau/core/subdev/fb,71,0,v3.11
drivers/gpu/drm/nouveau/core/subdev/gpio,39,0,v3.11
drivers/gpu/drm/nouveau/core/subdev/i2c,70,0,v3.11
drivers/gpu/drm/nouveau/core/subdev/ibus,10,0,v3.11
drivers/gpu/drm/nouveau/core/subdev/instmem,28,0,v3.11
drivers/gpu/drm/nouveau/core/subdev/ltcg,9,0,v3.11
drivers/gpu/drm/nouveau/core/subdev/mc,13,0,v3.11
drivers/gpu/drm/nouveau/core/subdev/mxm,21,0,v3.11
drivers/gpu/drm/nouveau/core/subdev/therm,79,0,v3.11
drivers/gpu/drm/nouveau/core/subdev/timer,12,0,v3.11
drivers/gpu/drm/nouveau/core/subdev/vm,49,0,v3.11
,335660,1582,v3.12
Documentation,162,11,v3.12
arch,45582,289,v3.12
block,934,0,v3.12
crypto,1249,43,v3.12
drivers,205752,655,v3.12
firmware,7,0,v3.12
fs,23417,56,v3.12
init,104,3,v3.12
ipc,247,0,v3.12
kernel,6891,107,v3.12
lib,1445,144,v3.12
mm,2986,22,v3.12
net,21597,26,v3.12
samples,81,1,v3.12
scripts,975,10,v3.12
security,2161,1,v3.12
sound,18283,6,v3.12
tools,3398,208,v3.12
usr,19,0,v3.12
virt,370,0,v3.12
Documentation/accounting,9,0,v3.12
Documentation/arm,4,1,v3.12
Documentation/auxdisplay,12,0,v3.12
Documentation/blackfin,3,0,v3.12
Documentation/connector,7,2,v3.12
Documentation/filesystems,38,1,v3.12
Documentation/ia64,5,0,v3.12
Documentation/laptops,16,0,v3.12
Documentation/misc-devices,11,0,v3.12
Documentation/networking,6,0,v3.12
Documentation/pcmcia,2,1,v3.12
Documentation/prctl,13,4,v3.12
Documentation/ptp,7,0,v3.12
Documentation/spi,9,0,v3.12
Documentation/timers,6,0,v3.12
Documentation/vDSO,10,1,v3.12
Documentation/watchdog,4,1,v3.12
arch/alpha,918,10,v3.12
arch/arc,269,3,v3.12
arch/arm,9804,38,v3.12
arch/arm64,462,2,v3.12
arch/avr32,371,2,v3.12
arch/blackfin,707,5,v3.12
arch/c6x,179,3,v3.12
arch/cris,574,10,v3.12
arch/frv,276,6,v3.12
arch/h8300,115,5,v3.12
arch/hexagon,152,3,v3.12
arch/ia64,1943,9,v3.12
arch/m32r,486,7,v3.12
arch/m68k,886,5,v3.12
arch/metag,339,2,v3.12
arch/microblaze,262,5,v3.12
arch/mips,4735,12,v3.12
arch/mn10300,437,7,v3.12
arch/openrisc,115,2,v3.12
arch/parisc,602,12,v3.12
arch/powerpc,7244,17,v3.12
arch/s390,1701,13,v3.12
arch/score,120,0,v3.12
arch/sh,1608,12,v3.12
arch/sparc,2085,6,v3.12
arch/tile,734,8,v3.12
arch/um,851,8,v3.12
arch/unicore32,243,4,v3.12
arch/x86,7084,68,v3.12
arch/xtensa,280,5,v3.12
block/partitions,99,0,v3.12
crypto/asymmetric_keys,38,0,v3.12
crypto/async_tx,34,7,v3.12
drivers/accessibility,9,0,v3.12
drivers/acpi,1820,0,v3.12
drivers/amba,45,0,v3.12
drivers/ata,1968,1,v3.12
drivers/atm,728,1,v3.12
drivers/auxdisplay,40,0,v3.12
drivers/base,1092,13,v3.12
drivers/bcma,192,0,v3.12
drivers/block,2803,5,v3.12
drivers/bluetooth,331,0,v3.12
drivers/bus,72,0,v3.12
drivers/cdrom,148,0,v3.12
drivers/char,2069,9,v3.12
drivers/clk,751,0,v3.12
drivers/clocksource,419,1,v3.12
drivers/connector,28,3,v3.12
drivers/cpufreq,843,2,v3.12
drivers/cpuidle,126,0,v3.12
drivers/crypto,1169,0,v3.12
drivers/dca,27,0,v3.12
drivers/devfreq,95,0,v3.12
drivers/dio,16,0,v3.12
drivers/dma,1680,22,v3.12
drivers/edac,867,0,v3.12
drivers/eisa,21,0,v3.12
drivers/extcon,92,0,v3.12
drivers/firewire,433,0,v3.12
drivers/firmware,272,0,v3.12
drivers/fmc,73,0,v3.12
drivers/gpio,1332,0,v3.12
drivers/gpu,11749,31,v3.12
drivers/hid,1090,1,v3.12
drivers/hsi,61,0,v3.12
drivers/hv,148,0,v3.12
drivers/hwmon,3145,0,v3.12
drivers/hwspinlock,26,0,v3.12
drivers/i2c,1291,1,v3.12
drivers/ide,1188,0,v3.12
drivers/idle,25,0,v3.12
drivers/iio,1005,0,v3.12
drivers/infiniband,5116,3,v3.12
drivers/input,3489,0,v3.12
drivers/iommu,998,0,v3.12
drivers/ipack,75,0,v3.12
drivers/irqchip,269,0,v3.12
drivers/isdn,4263,7,v3.12
drivers/leds,611,0,v3.12
drivers/lguest,129,4,v3.12
drivers/macintosh,680,0,v3.12
drivers/mailbox,68,0,v3.12
drivers/md,2849,24,v3.12
drivers/media,19480,46,v3.12
drivers/memory,74,0,v3.12
drivers/memstick,225,0,v3.12
drivers/message,590,0,v3.12
drivers/mfd,2092,0,v3.12
drivers/misc,1841,0,v3.12
drivers/mmc,1817,62,v3.12
drivers/mtd,2603,59,v3.12
drivers/net,40346,49,v3.12
drivers/nfc,196,0,v3.12
drivers/ntb,86,0,v3.12
drivers/nubus,46,0,v3.12
drivers/of,178,7,v3.12
drivers/oprofile,134,0,v3.12
drivers/parisc,250,0,v3.12
drivers/parport,314,0,v3.12
drivers/pci,1752,3,v3.12
drivers/pcmcia,728,1,v3.12
drivers/pinctrl,1228,1,v3.12
drivers/platform,1482,0,v3.12
drivers/pnp,290,0,v3.12
drivers/power,1175,4,v3.12
drivers/pps,50,0,v3.12
drivers/ps3,171,0,v3.12
drivers/ptp,63,0,v3.12
drivers/pwm,237,0,v3.12
drivers/rapidio,215,0,v3.12
drivers/regulator,1022,0,v3.12
drivers/remoteproc,82,0,v3.12
drivers/reset,13,0,v3.12
drivers/rpmsg,30,0,v3.12
drivers/rtc,1365,10,v3.12
drivers/s390,3382,1,v3.12
drivers/sbus,127,0,v3.12
drivers/scsi,14886,4,v3.12
drivers/sfi,27,0,v3.12
drivers/sh,175,0,v3.12
drivers/sn,34,0,v3.12
drivers/spi,1247,4,v3.12
drivers/ssb,316,0,v3.12
drivers/staging,20396,127,v3.12
