directory,functions,tested,tag
fs/jffs2,345,0,v3.0
fs/jfs,342,1,v3.0
fs/lockd,289,0,v3.0
fs/logfs,349,0,v3.0
fs/minix,93,0,v3.0
fs/ncpfs,178,0,v3.0
fs/nfs,1687,0,v3.0
fs/nfs_common,6,0,v3.0
fs/nfsd,810,0,v3.0
fs/nilfs2,581,1,v3.0
fs/nls,178,0,v3.0
fs/notify,125,1,v3.0
fs/ntfs,191,1,v3.0
fs/ocfs2,1995,0,v3.0
fs/omfs,53,1,v3.0
fs/openpromfs,19,0,v3.0
fs/partitions,108,0,v3.0
fs/proc,379,1,v3.0
fs/pstore,18,1,v3.0
fs/qnx4,29,0,v3.0
fs/quota,167,0,v3.0
fs/ramfs,18,0,v3.0
fs/reiserfs,607,0,v3.0
fs/romfs,27,0,v3.0
fs/squashfs,73,0,v3.0
fs/sysfs,120,4,v3.0
fs/sysv,95,0,v3.0
fs/ubifs,600,1,v3.0
fs/udf,166,0,v3.0
fs/ufs,119,0,v3.0
fs/xfs,1492,0,v3.0
kernel/debug,177,0,v3.0
kernel/events,317,0,v3.0
kernel/gcov,59,0,v3.0
kernel/irq,177,0,v3.0
kernel/power,200,5,v3.0
kernel/time,298,6,v3.0
kernel/trace,1076,32,v3.0
lib/lzo,3,0,v3.0
lib/raid6,22,4,v3.0
lib/reed_solomon,9,0,v3.0
lib/xz,64,8,v3.0
lib/zlib_deflate,31,0,v3.0
lib/zlib_inflate,13,0,v3.0
net/802,77,0,v3.0
net/8021q,83,0,v3.0
net/9p,135,0,v3.0
net/appletalk,97,0,v3.0
net/atm,352,0,v3.0
net/ax25,162,0,v3.0
net/batman-adv,254,0,v3.0
net/bluetooth,812,0,v3.0
net/bridge,521,0,v3.0
net/caif,180,0,v3.0
net/can,96,0,v3.0
net/ceph,369,3,v3.0
net/core,980,4,v3.0
net/dcb,39,0,v3.0
net/dccp,322,0,v3.0
net/decnet,302,0,v3.0
net/dns_resolver,7,0,v3.0
net/dsa,114,0,v3.0
net/econet,26,0,v3.0
net/ethernet,16,0,v3.0
net/ieee802154,82,0,v3.0
net/ipv4,2184,1,v3.0
net/ipv6,1280,0,v3.0
net/ipx,80,0,v3.0
net/irda,653,1,v3.0
net/iucv,102,0,v3.0
net/key,110,0,v3.0
net/l2tp,135,0,v3.0
net/lapb,52,0,v3.0
net/llc,336,0,v3.0
net/mac80211,819,0,v3.0
net/netfilter,1823,2,v3.0
net/netlabel,106,0,v3.0
net/netlink,107,0,v3.0
net/netrom,116,0,v3.0
net/packet,54,0,v3.0
net/phonet,146,0,v3.0
net/rds,406,0,v3.0
net/rfkill,81,0,v3.0
net/rose,135,0,v3.0
net/rxrpc,192,0,v3.0
net/sched,1020,2,v3.0
net/sctp,734,0,v3.0
net/sunrpc,1092,0,v3.0
net/tipc,340,4,v3.0
net/unix,78,0,v3.0
net/wanrouter,27,0,v3.0
