directory,non_static,tested,tag
fs/ncpfs,60,0,v3.0
fs/nfs,352,0,v3.0
fs/nfs_common,2,0,v3.0
fs/nfsd,206,0,v3.0
fs/nilfs2,213,0,v3.0
fs/nls,9,0,v3.0
fs/notify,53,0,v3.0
fs/ntfs,86,0,v3.0
fs/ocfs2,552,0,v3.0
fs/omfs,12,0,v3.0
fs/partitions,34,0,v3.0
fs/proc,62,1,v3.0
fs/pstore,7,0,v3.0
fs/qnx4,5,0,v3.0
fs/quota,45,0,v3.0
fs/ramfs,7,0,v3.0
fs/reiserfs,170,0,v3.0
fs/romfs,3,0,v3.0
fs/squashfs,22,0,v3.0
fs/sysfs,55,0,v3.0
fs/sysv,24,0,v3.0
fs/ubifs,221,0,v3.0
fs/udf,55,0,v3.0
fs/ufs,42,0,v3.0
fs/xfs,1390,0,v3.0
kernel/debug,77,0,v3.0
kernel/events,58,0,v3.0
kernel/gcov,18,0,v3.0
kernel/irq,97,0,v3.0
kernel/power,51,2,v3.0
kernel/time,135,5,v3.0
kernel/trace,269,22,v3.0
lib/lzo,2,0,v3.0
lib/raid6,6,1,v3.0
lib/reed_solomon,7,0,v3.0
lib/xz,13,4,v3.0
lib/zlib_deflate,10,0,v3.0
lib/zlib_inflate,9,0,v3.0
net/802,26,0,v3.0
net/8021q,27,0,v3.0
net/9p,61,0,v3.0
net/appletalk,16,0,v3.0
net/atm,61,0,v3.0
net/ax25,101,0,v3.0
net/batman-adv,103,0,v3.0
net/bluetooth,187,0,v3.0
net/bridge,98,0,v3.0
net/caif,60,0,v3.0
net/can,9,0,v3.0
net/ceph,153,0,v3.0
net/core,442,4,v3.0
net/dcb,5,0,v3.0
net/dccp,113,0,v3.0
net/decnet,73,0,v3.0
net/dns_resolver,1,0,v3.0
net/dsa,24,0,v3.0
net/ethernet,14,0,v3.0
net/ieee802154,24,0,v3.0
net/ipv4,493,0,v3.0
net/ipv6,287,0,v3.0
net/ipx,18,0,v3.0
net/irda,263,0,v3.0
net/iucv,22,0,v3.0
net/l2tp,15,0,v3.0
net/lapb,34,0,v3.0
net/llc,225,0,v3.0
net/mac80211,341,0,v3.0
net/netfilter,301,0,v3.0
net/netlabel,57,0,v3.0
net/netlink,34,0,v3.0
net/netrom,44,0,v3.0
net/packet,1,0,v3.0
net/phonet,38,0,v3.0
net/rds,230,0,v3.0
net/rfkill,19,0,v3.0
net/rose,54,0,v3.0
net/rxrpc,68,0,v3.0
net/sched,73,2,v3.0
net/sctp,360,0,v3.0
net/sunrpc,347,0,v3.0
net/tipc,170,0,v3.0
net/unix,7,0,v3.0
net/wanrouter,7,0,v3.0
net/wimax,24,0,v3.0
net/wireless,241,2,v3.0
net/x25,60,0,v3.0
net/xfrm,115,0,v3.0
samples/hidraw,2,0,v3.0
scripts/basic,1,0,v3.0
scripts/dtc,110,0,v3.0
scripts/genksyms,9,0,v3.0
scripts/kconfig,187,0,v3.0
scripts/mod,14,0,v3.0
scripts/selinux,2,0,v3.0
security/apparmor,59,0,v3.0
security/integrity,28,0,v3.0
security/keys,85,0,v3.0
security/selinux,165,0,v3.0
security/smack,11,0,v3.0
security/tomoyo,69,0,v3.0
sound/aoa,29,0,v3.0
sound/arm,21,0,v3.0
sound/core,425,0,v3.0
sound/drivers,87,0,v3.0
sound/firewire,24,0,v3.0
sound/i2c,39,0,v3.0
sound/isa,162,0,v3.0
sound/mips,11,0,v3.0
sound/oss,167,0,v3.0
sound/pci,770,0,v3.0
sound/pcmcia,12,0,v3.0
sound/ppc,18,0,v3.0
sound/soc,202,0,v3.0
sound/synth,60,0,v3.0
sound/usb,75,0,v3.0
tools/firewire,2,0,v3.0
tools/perf,520,21,v3.0
tools/power,43,2,v3.0
tools/slub,1,0,v3.0
tools/usb,2,0,v3.0
tools/virtio,4,0,v3.0
virt/kvm,106,0,v3.0
Documentation/arm/SH-Mobile,4,0,v3.0
Documentation/networking/timestamping,1,0,v3.0
Documentation/virtual/lguest,1,0,v3.0
Documentation/watchdog/src,2,0,v3.0
arch/alpha/boot,13,0,v3.0
arch/alpha/kernel,307,7,v3.0
arch/alpha/lib,18,2,v3.0
arch/alpha/math-emu,4,0,v3.0
arch/alpha/mm,18,0,v3.0
arch/alpha/oprofile,2,0,v3.0
arch/arm/boot,12,2,v3.0
arch/arm/common,73,0,v3.0
arch/arm/kernel,266,2,v3.0
arch/arm/lib,2,0,v3.0
arch/arm/mach-at91,169,0,v3.0
arch/arm/mach-bcmring,94,1,v3.0
arch/arm/mach-clps711x,4,0,v3.0
arch/arm/mach-cns3xxx,12,0,v3.0
arch/arm/mach-davinci,95,0,v3.0
arch/arm/mach-dove,23,0,v3.0
arch/arm/mach-ebsa110,24,0,v3.0
