directory,non_static,tested,tag
arch/cris/arch-v32/mm,12,0,v3.2
arch/cris/boot/compressed,4,2,v3.2
arch/cris/boot/tools,6,0,v3.2
arch/h8300/boot/compressed,4,2,v3.2
arch/h8300/kernel/timer,4,0,v3.2
arch/h8300/platform/h8300h,7,0,v3.2
arch/h8300/platform/h8s,7,0,v3.2
arch/ia64/hp/common,5,0,v3.2
arch/ia64/hp/sim,9,0,v3.2
arch/ia64/sn/kernel,95,0,v3.2
arch/ia64/sn/pci,35,0,v3.2
arch/ia64/uv/kernel,1,0,v3.2
arch/m32r/boot/compressed,1,0,v3.2
arch/m32r/platforms/m32104ut,19,0,v3.2
arch/m32r/platforms/m32700ut,19,0,v3.2
arch/m32r/platforms/mappi,19,0,v3.2
arch/m32r/platforms/mappi2,19,0,v3.2
arch/m32r/platforms/mappi3,19,0,v3.2
arch/m32r/platforms/oaks32r,19,0,v3.2
arch/m32r/platforms/opsput,19,0,v3.2
arch/m32r/platforms/usrv,19,0,v3.2
arch/m68k/platform/5206,2,0,v3.2
arch/m68k/platform/520x,1,0,v3.2
arch/m68k/platform/523x,1,0,v3.2
arch/m68k/platform/5249,2,0,v3.2
arch/m68k/platform/5272,2,0,v3.2
arch/m68k/platform/527x,1,0,v3.2
arch/m68k/platform/528x,3,0,v3.2
arch/m68k/platform/5307,2,0,v3.2
arch/m68k/platform/532x,11,0,v3.2
arch/m68k/platform/5407,2,0,v3.2
arch/m68k/platform/54xx,1,0,v3.2
arch/m68k/platform/68328,7,0,v3.2
arch/m68k/platform/68360,13,0,v3.2
arch/m68k/platform/68EZ328,2,0,v3.2
arch/m68k/platform/68VZ328,1,0,v3.2
arch/m68k/platform/coldfire,32,0,v3.2
arch/m68k/sun3/prom,13,0,v3.2
arch/m68k/tools/amiga,1,0,v3.2
arch/microblaze/kernel/cpu,6,0,v3.2
arch/mips/alchemy/common,36,0,v3.2
arch/mips/alchemy/devboards,29,0,v3.2
arch/mips/alchemy/gpr,4,0,v3.2
arch/mips/alchemy/mtx-1,4,0,v3.2
arch/mips/alchemy/xxs1500,4,0,v3.2
arch/mips/bcm63xx/boards,5,0,v3.2
arch/mips/boot/compressed,11,3,v3.2
arch/mips/cavium-octeon/executive,43,0,v3.2
arch/mips/dec/prom,8,0,v3.2
arch/mips/emma/common,3,0,v3.2
arch/mips/emma/markeins,11,0,v3.2
arch/mips/fw/arc,43,0,v3.2
arch/mips/fw/cfe,22,0,v3.2
arch/mips/fw/sni,6,0,v3.2
arch/mips/kernel/cpufreq,9,0,v3.2
arch/mips/lantiq/xway,35,0,v3.2
arch/mips/loongson/common,46,0,v3.2
arch/mips/loongson/fuloong-2e,4,0,v3.2
arch/mips/loongson/lemote-2f,16,0,v3.2
arch/mips/netlogic/xlr,25,0,v3.2
arch/mips/pmc-sierra/msp71xx,41,0,v3.2
arch/mips/pmc-sierra/yosemite,24,0,v3.2
arch/mips/pnx833x/common,11,0,v3.2
arch/mips/pnx833x/stb22x,3,0,v3.2
arch/mips/pnx8550/common,16,0,v3.2
arch/mips/pnx8550/jbs,3,0,v3.2
arch/mips/pnx8550/stb810,3,0,v3.2
arch/mips/powertv/asic,13,0,v3.2
arch/mips/powertv/pci,3,0,v3.2
arch/mips/sibyte/bcm1480,9,0,v3.2
arch/mips/sibyte/common,3,0,v3.2
arch/mips/sibyte/sb1250,12,0,v3.2
arch/mips/sibyte/swarm,12,0,v3.2
arch/mips/txx9/generic,88,0,v3.2
arch/mips/txx9/jmr3927,2,0,v3.2
arch/mips/txx9/rbtx4927,2,0,v3.2
arch/mips/txx9/rbtx4938,2,0,v3.2
arch/mips/txx9/rbtx4939,2,0,v3.2
arch/mips/vr41xx/common,35,0,v3.2
arch/mn10300/boot/compressed,4,0,v3.2
arch/mn10300/boot/tools,4,0,v3.2
arch/powerpc/oprofile/cell,12,0,v3.2
arch/powerpc/platforms/44x,3,0,v3.2
arch/powerpc/platforms/512x,17,0,v3.2
arch/powerpc/platforms/52xx,26,0,v3.2
arch/powerpc/platforms/82xx,3,0,v3.2
arch/powerpc/platforms/83xx,6,0,v3.2
arch/powerpc/platforms/85xx,16,0,v3.2
arch/powerpc/platforms/86xx,10,0,v3.2
arch/powerpc/platforms/8xx,5,0,v3.2
arch/powerpc/platforms/amigaone,4,0,v3.2
arch/powerpc/platforms/cell,143,0,v3.2
arch/powerpc/platforms/chrp,16,0,v3.2
arch/powerpc/platforms/embedded6xx,29,0,v3.2
arch/powerpc/platforms/iseries,53,0,v3.2
arch/powerpc/platforms/maple,7,0,v3.2
arch/powerpc/platforms/pasemi,32,0,v3.2
arch/powerpc/platforms/powermac,84,0,v3.2
arch/powerpc/platforms/powernv,13,0,v3.2
arch/powerpc/platforms/ps3,98,0,v3.2
arch/powerpc/platforms/pseries,83,0,v3.2
arch/powerpc/platforms/wsp,18,0,v3.2
arch/powerpc/sysdev/bestcomm,29,0,v3.2
arch/powerpc/sysdev/qe_lib,48,0,v3.2
arch/powerpc/sysdev/xics,16,0,v3.2
arch/s390/boot/compressed,4,2,v3.2
arch/sh/boards/mach-cayman,3,0,v3.2
arch/sh/boards/mach-dreamcast,3,0,v3.2
arch/sh/boards/mach-highlander,4,0,v3.2
arch/sh/boards/mach-kfr2r09,4,0,v3.2
arch/sh/boards/mach-landisk,1,0,v3.2
arch/sh/boards/mach-lboxre2,1,0,v3.2
arch/sh/boards/mach-microdev,3,0,v3.2
arch/sh/boards/mach-migor,1,0,v3.2
arch/sh/boards/mach-r2d,2,0,v3.2
arch/sh/boards/mach-sdk7780,1,0,v3.2
arch/sh/boards/mach-sdk7786,3,0,v3.2
arch/sh/boards/mach-se,8,0,v3.2
arch/sh/boards/mach-sh03,4,0,v3.2
arch/sh/boards/mach-sh7763rdp,1,0,v3.2
arch/sh/boards/mach-x3proto,4,0,v3.2
arch/sh/boot/compressed,5,2,v3.2
arch/sh/boot/romimage,1,0,v3.2
arch/sh/cchips/hd6446x,1,0,v3.2
arch/sh/drivers/dma,19,0,v3.2
arch/sh/drivers/pci,31,0,v3.2
arch/sh/drivers/superhyway,1,0,v3.2
arch/sh/kernel/cpu,171,0,v3.2
arch/sh/kernel/vsyscall,6,0,v3.2
arch/um/kernel/skas,15,2,v3.2
arch/um/os-Linux/drivers,2,0,v3.2
arch/um/os-Linux/skas,18,1,v3.2
arch/unicore32/boot/compressed,3,2,v3.2
arch/x86/boot/compressed,8,2,v3.2
arch/x86/boot/tools,1,0,v3.2
arch/x86/kernel/acpi,27,0,v3.2
arch/x86/kernel/apic,110,0,v3.2
arch/x86/kernel/cpu,140,0,v3.2
arch/x86/mm/kmemcheck,30,1,v3.2
arch/x86/platform/ce4100,1,0,v3.2
arch/x86/platform/efi,14,0,v3.2
arch/x86/platform/mrst,18,0,v3.2
arch/x86/platform/olpc,17,0,v3.2
arch/x86/platform/scx200,1,0,v3.2
arch/x86/platform/sfi,1,0,v3.2
arch/x86/platform/uv,17,0,v3.2
arch/x86/platform/visws,1,0,v3.2
arch/x86/um/os-Linux,14,0,v3.2
arch/x86/um/vdso,5,0,v3.2
arch/xtensa/boot/lib,3,0,v3.2
arch/xtensa/platforms/iss,9,0,v3.2
arch/xtensa/platforms/s6105,6,0,v3.2
arch/xtensa/platforms/xt2000,6,0,v3.2
arch/xtensa/variants/s6000,9,0,v3.2
drivers/gpu/drm/exynos,39,0,v3.2
drivers/gpu/drm/i2c,10,0,v3.2
drivers/gpu/drm/i810,6,0,v3.2
drivers/gpu/drm/i915,235,0,v3.2
drivers/gpu/drm/mga,25,0,v3.2
drivers/gpu/drm/nouveau,464,0,v3.2
drivers/gpu/drm/r128,23,0,v3.2
drivers/gpu/drm/radeon,766,10,v3.2
drivers/gpu/drm/savage,14,0,v3.2
drivers/gpu/drm/sis,3,0,v3.2
drivers/gpu/drm/ttm,96,0,v3.2
drivers/gpu/drm/via,32,0,v3.2
drivers/gpu/drm/vmwgfx,158,0,v3.2
drivers/infiniband/hw/amso1100,57,0,v3.2
drivers/infiniband/hw/cxgb3,86,0,v3.2
drivers/infiniband/hw/cxgb4,66,0,v3.2
drivers/infiniband/hw/ehca,142,0,v3.2
drivers/infiniband/hw/ipath,151,0,v3.2
drivers/infiniband/hw/mlx4,42,0,v3.2
drivers/infiniband/hw/mthca,169,0,v3.2
drivers/infiniband/hw/nes,59,0,v3.2
drivers/infiniband/hw/qib,198,0,v3.2
drivers/infiniband/ulp/ipoib,66,0,v3.2
drivers/infiniband/ulp/iser,25,0,v3.2
drivers/input/joystick/iforce,11,0,v3.2
drivers/isdn/hardware/avm,29,0,v3.2
drivers/isdn/hardware/eicon,205,1,v3.2
drivers/isdn/hardware/mISDN,23,0,v3.2
drivers/media/common/tuners,49,0,v3.2
drivers/media/dvb/b2c2,32,0,v3.2
drivers/media/dvb/bt8xx,14,0,v3.2
drivers/media/dvb/dm1105,2,0,v3.2
drivers/media/dvb/dvb-core,49,0,v3.2
drivers/media/dvb/dvb-usb,97,0,v3.2
drivers/media/dvb/firewire,33,0,v3.2
drivers/media/dvb/frontends,248,0,v3.2
drivers/media/dvb/mantis,42,0,v3.2
drivers/media/dvb/ngene,14,0,v3.2
drivers/media/dvb/pt1,4,0,v3.2
drivers/media/dvb/siano,37,0,v3.2
drivers/media/dvb/ttpci,54,0,v3.2
drivers/media/dvb/ttusb-dec,2,0,v3.2
drivers/media/radio/si470x,15,0,v3.2
drivers/media/radio/wl128x,54,0,v3.2
drivers/media/video/au0828,19,0,v3.2
drivers/media/video/bt8xx,55,0,v3.2
drivers/media/video/cpia2,35,0,v3.2
drivers/media/video/cx18,103,0,v3.2
drivers/media/video/cx231xx,128,0,v3.2
drivers/media/video/cx23885,115,0,v3.2
drivers/media/video/cx25821,114,0,v3.2
drivers/media/video/cx25840,18,0,v3.2
drivers/media/video/cx88,53,0,v3.2
drivers/media/video/davinci,15,0,v3.2
drivers/media/video/em28xx,46,0,v3.2
drivers/media/video/et61x251,3,0,v3.2
drivers/media/video/gspca,52,0,v3.2
drivers/media/video/hdpvr,14,0,v3.2
drivers/media/video/ivtv,98,0,v3.2
drivers/media/video/m5mols,12,0,v3.2
drivers/media/video/marvell-ccic,5,0,v3.2
drivers/media/video/omap,14,0,v3.2
drivers/media/video/omap3isp,94,0,v3.2
drivers/media/video/pvrusb2,140,0,v3.2
drivers/media/video/pwc,23,0,v3.2
drivers/media/video/s5p-fimc,52,0,v3.2
drivers/media/video/s5p-mfc,56,0,v3.2
drivers/media/video/s5p-tv,33,0,v3.2
drivers/media/video/saa7134,57,0,v3.2
drivers/media/video/saa7164,87,0,v3.2
drivers/media/video/sn9c102,33,0,v3.2
drivers/media/video/tlg2300,23,0,v3.2
drivers/media/video/tm6000,39,0,v3.2
drivers/media/video/usbvision,28,0,v3.2
drivers/media/video/uvc,44,0,v3.2
drivers/media/video/zoran,30,0,v3.2
drivers/mtd/nand/gpmi-nand,19,0,v3.2
drivers/net/can/c_can,4,0,v3.2
drivers/net/can/mscan,3,0,v3.2
drivers/net/can/sja1000,5,0,v3.2
drivers/net/can/softing,11,0,v3.2
drivers/net/ethernet/3com,6,0,v3.2
drivers/net/ethernet/8390,60,0,v3.2
drivers/net/ethernet/amd,20,0,v3.2
drivers/net/ethernet/apple,1,0,v3.2
drivers/net/ethernet/atheros,38,0,v3.2
drivers/net/ethernet/broadcom,132,0,v3.2
drivers/net/ethernet/brocade,133,0,v3.2
drivers/net/ethernet/chelsio,315,0,v3.2
drivers/net/ethernet/cirrus,6,0,v3.2
drivers/net/ethernet/cisco,111,0,v3.2
drivers/net/ethernet/dec,24,0,v3.2
drivers/net/ethernet/dlink,3,0,v3.2
drivers/net/ethernet/emulex,54,0,v3.2
drivers/net/ethernet/freescale,29,0,v3.2
drivers/net/ethernet/fujitsu,4,0,v3.2
drivers/net/ethernet/hp,2,0,v3.2
drivers/net/ethernet/i825xx,27,0,v3.2
drivers/net/ethernet/ibm,108,0,v3.2
drivers/net/ethernet/intel,506,0,v3.2
drivers/net/ethernet/marvell,1,0,v3.2
drivers/net/ethernet/mellanox,197,3,v3.2
drivers/net/ethernet/micrel,7,0,v3.2
drivers/net/ethernet/natsemi,1,0,v3.2
drivers/net/ethernet/neterion,94,0,v3.2
drivers/net/ethernet/oki-semi,34,0,v3.2
drivers/net/ethernet/pasemi,1,0,v3.2
drivers/net/ethernet/qlogic,188,0,v3.2
drivers/net/ethernet/racal,1,0,v3.2
drivers/net/ethernet/seeq,5,0,v3.2
drivers/net/ethernet/sfc,147,7,v3.2
drivers/net/ethernet/sgi,1,0,v3.2
drivers/net/ethernet/smsc,3,0,v3.2
drivers/net/ethernet/stmicro,23,0,v3.2
drivers/net/ethernet/sun,3,0,v3.2
drivers/net/ethernet/ti,22,0,v3.2
drivers/net/ethernet/tile,1,0,v3.2
drivers/net/ethernet/toshiba,17,0,v3.2
drivers/net/ethernet/xilinx,9,0,v3.2
drivers/net/ethernet/xscale,22,0,v3.2
drivers/net/fddi/skfp,146,0,v3.2
drivers/net/wan/lmc,16,0,v3.2
drivers/net/wimax/i2400m,65,0,v3.2
drivers/net/wireless/ath,653,0,v3.2
drivers/net/wireless/b43,155,0,v3.2
drivers/net/wireless/b43legacy,99,0,v3.2
drivers/net/wireless/brcm80211,549,0,v3.2
drivers/net/wireless/hostap,63,0,v3.2
drivers/net/wireless/ipw2x00,23,0,v3.2
drivers/net/wireless/iwlegacy,233,0,v3.2
drivers/net/wireless/iwlwifi,227,0,v3.2
drivers/net/wireless/iwmc3200wifi,74,0,v3.2
drivers/net/wireless/libertas,81,0,v3.2
drivers/net/wireless/libertas_tf,24,0,v3.2
drivers/net/wireless/mwifiex,152,0,v3.2
drivers/net/wireless/orinoco,57,0,v3.2
drivers/net/wireless/p54,28,0,v3.2
drivers/net/wireless/prism54,46,0,v3.2
drivers/net/wireless/rt2x00,165,0,v3.2
drivers/net/wireless/rtl818x,10,0,v3.2
drivers/net/wireless/rtlwifi,385,0,v3.2
drivers/net/wireless/wl1251,92,0,v3.2
drivers/net/wireless/wl12xx,163,2,v3.2
drivers/net/wireless/zd1211rw,85,0,v3.2
drivers/pci/pcie/aer,19,0,v3.2
drivers/scsi/aic7xxx/aicasm,23,1,v3.2
drivers/scsi/cxgbi/cxgb3i,1,0,v3.2
drivers/scsi/cxgbi/cxgb4i,1,0,v3.2
drivers/scsi/isci/firmware,3,0,v3.2
drivers/staging/comedi/drivers,329,0,v3.2
drivers/staging/comedi/kcomedilib,6,0,v3.2
drivers/staging/ft1000/ft1000-pcmcia,16,0,v3.2
drivers/staging/ft1000/ft1000-usb,22,0,v3.2
drivers/staging/iio/Documentation,4,0,v3.2
drivers/staging/iio/accel,40,0,v3.2
drivers/staging/iio/adc,24,0,v3.2
drivers/staging/iio/addac,4,0,v3.2
drivers/staging/iio/gyro,5,0,v3.2
drivers/staging/iio/imu,5,0,v3.2
drivers/staging/iio/meter,10,0,v3.2
drivers/staging/media/as102,23,0,v3.2
drivers/staging/media/cxd2099,1,0,v3.2
drivers/staging/media/easycap,47,1,v3.2
drivers/staging/media/go7007,15,0,v3.2
drivers/staging/media/lirc,3,0,v3.2
drivers/staging/media/solo6x10,40,0,v3.2
drivers/staging/rtl8187se/ieee80211,143,0,v3.2
drivers/staging/rtl8192u/ieee80211,242,0,v3.2
drivers/staging/tidspbridge/core,71,0,v3.2
drivers/staging/tidspbridge/dynload,24,0,v3.2
drivers/staging/tidspbridge/gen,9,0,v3.2
drivers/staging/tidspbridge/hw,17,0,v3.2
drivers/staging/tidspbridge/pmgr,159,0,v3.2
drivers/staging/tidspbridge/rmgr,151,0,v3.2
drivers/staging/usbip/userspace,65,0,v3.2
drivers/staging/vme/bridges,4,0,v3.2
drivers/tty/serial/cpm_uart,11,0,v3.2
drivers/tty/serial/jsm,5,0,v3.2
drivers/usb/host/whci,50,0,v3.2
drivers/usb/misc/sisusbvga,20,0,v3.2
drivers/uwb/i1480/dfu,6,0,v3.2
drivers/video/omap2/dss,243,0,v3.2
drivers/video/omap2/omapfb,14,0,v3.2
net/dccp/ccids/lib,22,0,v3.2
sound/aoa/soundbus/i2sbus,13,0,v3.2
sound/core/seq/oss,71,0,v3.2
tools/perf/arch/arm,1,0,v3.2
tools/perf/arch/powerpc,2,0,v3.2
tools/perf/arch/s390,1,0,v3.2
tools/perf/arch/sh,1,0,v3.2
tools/perf/arch/sparc,1,0,v3.2
tools/perf/arch/x86,2,0,v3.2
tools/perf/scripts/python,1,0,v3.2
tools/perf/util/scripting-engines,1,0,v3.2
tools/perf/util/ui,47,0,v3.2
tools/power/cpupower/bench,14,0,v3.2
tools/power/cpupower/debug,5,0,v3.2
tools/power/cpupower/lib,43,0,v3.2
tools/power/cpupower/utils,61,0,v3.2
tools/power/x86/turbostat,34,1,v3.2
tools/power/x86/x86_energy_perf_policy,9,1,v3.2
arch/arm/mach-bcmring/csp/chipc,9,0,v3.2
arch/arm/mach-bcmring/csp/dmac,26,0,v3.2
arch/arm/mach-bcmring/csp/tmr,16,0,v3.2
arch/cris/arch-v32/drivers/mach-a3,2,0,v3.2
arch/cris/arch-v32/drivers/mach-fs,4,0,v3.2
arch/cris/arch-v32/drivers/pci,11,0,v3.2
arch/ia64/hp/sim/boot,3,0,v3.2
arch/ia64/sn/kernel/sn2,30,0,v3.2
arch/ia64/sn/pci/pcibr,25,0,v3.2
arch/mips/alchemy/devboards/db1200,5,0,v3.2
arch/mips/alchemy/devboards/db1x00,2,0,v3.2
arch/mips/alchemy/devboards/pb1000,2,0,v3.2
arch/mips/alchemy/devboards/pb1100,2,0,v3.2
arch/mips/alchemy/devboards/pb1200,5,0,v3.2
arch/mips/alchemy/devboards/pb1500,2,0,v3.2
arch/mips/alchemy/devboards/pb1550,2,0,v3.2
arch/mips/loongson/common/cs5536,18,0,v3.2
arch/powerpc/platforms/cell/spufs,46,0,v3.2
arch/sh/boards/mach-se/7206,1,0,v3.2
arch/sh/boards/mach-se/7343,1,0,v3.2
arch/sh/boards/mach-se/770x,1,0,v3.2
arch/sh/boards/mach-se/7721,1,0,v3.2
arch/sh/boards/mach-se/7722,1,0,v3.2
arch/sh/boards/mach-se/7724,1,0,v3.2
arch/sh/boards/mach-se/7751,1,0,v3.2
arch/sh/boards/mach-se/7780,1,0,v3.2
arch/sh/kernel/cpu/irq,3,0,v3.2
arch/sh/kernel/cpu/sh2,4,0,v3.2
arch/sh/kernel/cpu/sh2a,15,0,v3.2
arch/sh/kernel/cpu/sh3,17,0,v3.2
arch/sh/kernel/cpu/sh4,41,0,v3.2
arch/sh/kernel/cpu/sh4a,62,0,v3.2
arch/sh/kernel/cpu/sh5,7,0,v3.2
arch/sh/kernel/cpu/shmobile,4,0,v3.2
arch/x86/kernel/acpi/realmode,1,0,v3.2
arch/x86/kernel/cpu/mcheck,31,0,v3.2
arch/x86/kernel/cpu/mtrr,28,0,v3.2
drivers/media/video/gspca/gl860,8,0,v3.2
drivers/media/video/gspca/m5602,31,0,v3.2
drivers/media/video/gspca/stv06xx,6,0,v3.2
drivers/net/ethernet/atheros/atl1c,17,0,v3.2
drivers/net/ethernet/atheros/atl1e,21,0,v3.2
drivers/net/ethernet/broadcom/bnx2x,129,0,v3.2
drivers/net/ethernet/brocade/bna,133,0,v3.2
drivers/net/ethernet/chelsio/cxgb,56,0,v3.2
drivers/net/ethernet/chelsio/cxgb3,134,0,v3.2
drivers/net/ethernet/chelsio/cxgb4,84,0,v3.2
drivers/net/ethernet/chelsio/cxgb4vf,41,0,v3.2
drivers/net/ethernet/cisco/enic,111,0,v3.2
drivers/net/ethernet/dec/tulip,23,0,v3.2
drivers/net/ethernet/emulex/benet,54,0,v3.2
drivers/net/ethernet/freescale/fs_enet,2,0,v3.2
drivers/net/ethernet/ibm/ehea,56,0,v3.2
drivers/net/ethernet/ibm/emac,52,0,v3.2
drivers/net/ethernet/intel/e1000,54,0,v3.2
drivers/net/ethernet/intel/e1000e,138,0,v3.2
drivers/net/ethernet/intel/igb,108,0,v3.2
drivers/net/ethernet/intel/igbvf,12,0,v3.2
drivers/net/ethernet/intel/ixgb,29,0,v3.2
drivers/net/ethernet/intel/ixgbe,154,0,v3.2
drivers/net/ethernet/intel/ixgbevf,11,0,v3.2
drivers/net/ethernet/mellanox/mlx4,197,3,v3.2
drivers/net/ethernet/neterion/vxge,94,0,v3.2
drivers/net/ethernet/oki-semi/pch_gbe,34,0,v3.2
drivers/net/ethernet/qlogic/netxen,49,0,v3.2
drivers/net/ethernet/qlogic/qlcnic,80,0,v3.2
drivers/net/ethernet/qlogic/qlge,59,0,v3.2
drivers/net/ethernet/stmicro/stmmac,23,0,v3.2
drivers/net/ethernet/xscale/ixp2000,22,0,v3.2
drivers/net/wireless/ath/ath5k,119,0,v3.2
drivers/net/wireless/ath/ath6kl,162,0,v3.2
drivers/net/wireless/ath/ath9k,299,0,v3.2
drivers/net/wireless/ath/carl9170,59,0,v3.2
drivers/net/wireless/brcm80211/brcmfmac,71,0,v3.2
drivers/net/wireless/brcm80211/brcmsmac,462,0,v3.2
drivers/net/wireless/brcm80211/brcmutil,16,0,v3.2
drivers/net/wireless/rtl818x/rtl8180,3,0,v3.2
drivers/net/wireless/rtl818x/rtl8187,7,0,v3.2
drivers/net/wireless/rtlwifi/rtl8192c,47,0,v3.2
drivers/net/wireless/rtlwifi/rtl8192ce,51,0,v3.2
drivers/net/wireless/rtlwifi/rtl8192cu,80,0,v3.2
drivers/net/wireless/rtlwifi/rtl8192de,80,0,v3.2
drivers/net/wireless/rtlwifi/rtl8192se,61,0,v3.2
drivers/staging/comedi/drivers/addi-data,214,0,v3.2
drivers/staging/usbip/userspace/libsrc,40,0,v3.2
drivers/staging/usbip/userspace/src,25,0,v3.2
tools/perf/arch/arm/util,1,0,v3.2
tools/perf/arch/powerpc/util,2,0,v3.2
tools/perf/arch/s390/util,1,0,v3.2
tools/perf/arch/sh/util,1,0,v3.2
tools/perf/arch/sparc/util,1,0,v3.2
tools/perf/arch/x86/util,2,0,v3.2
tools/perf/scripts/python/Perf-Trace-Util,1,0,v3.2
tools/perf/util/ui/browsers,4,0,v3.2
tools/power/cpupower/debug/i386,5,0,v3.2
tools/power/cpupower/utils/helpers,38,0,v3.2
tools/power/cpupower/utils/idle_monitor,17,0,v3.2
drivers/net/wireless/brcm80211/brcmsmac/phy,192,0,v3.2
,71082,551,v3.3
Documentation,56,3,v3.3
arch,16975,204,v3.3
block,311,0,v3.3
crypto,179,11,v3.3
drivers,32263,134,v3.3
firmware,1,0,v3.3
fs,7545,8,v3.3
init,16,0,v3.3
ipc,65,0,v3.3
kernel,2153,68,v3.3
lib,691,53,v3.3
mm,971,18,v3.3
net,5842,11,v3.3
samples,2,0,v3.3
scripts,330,0,v3.3
security,681,0,v3.3
sound,2132,0,v3.3
tools,755,41,v3.3
usr,1,0,v3.3
virt,113,0,v3.3
Documentation/accounting,1,0,v3.3
Documentation/arm,4,1,v3.3
Documentation/auxdisplay,1,0,v3.3
Documentation/cgroups,1,0,v3.3
Documentation/connector,1,0,v3.3
Documentation/filesystems,1,0,v3.3
Documentation/ia64,1,0,v3.3
Documentation/laptops,10,0,v3.3
Documentation/networking,2,0,v3.3
Documentation/pcmcia,1,0,v3.3
Documentation/prctl,13,1,v3.3
Documentation/ptp,1,0,v3.3
Documentation/spi,2,0,v3.3
Documentation/timers,5,0,v3.3
Documentation/vDSO,6,1,v3.3
Documentation/vm,4,0,v3.3
Documentation/watchdog,2,0,v3.3
arch/alpha,354,9,v3.3
arch/arm,3546,14,v3.3
arch/avr32,164,3,v3.3
arch/blackfin,349,6,v3.3
arch/c6x,114,4,v3.3
arch/cris,335,10,v3.3
arch/frv,161,6,v3.3
arch/h8300,91,4,v3.3
arch/hexagon,113,3,v3.3
arch/ia64,875,6,v3.3
arch/m32r,266,3,v3.3
arch/m68k,537,10,v3.3
arch/microblaze,161,5,v3.3
arch/mips,1900,11,v3.3
arch/mn10300,265,2,v3.3
arch/openrisc,90,2,v3.3
arch/parisc,382,12,v3.3
arch/powerpc,2317,16,v3.3
arch/s390,471,12,v3.3
arch/score,100,1,v3.3
arch/sh,708,11,v3.3
arch/sparc,832,6,v3.3
arch/tile,290,11,v3.3
arch/um,387,5,v3.3
arch/unicore32,132,4,v3.3
arch/x86,1902,26,v3.3
arch/xtensa,133,2,v3.3
block/partitions,20,0,v3.3
crypto/async_tx,14,1,v3.3
drivers/accessibility,2,0,v3.3
drivers/acpi,770,0,v3.3
drivers/amba,7,0,v3.3
drivers/ata,283,0,v3.3
drivers/atm,6,0,v3.3
drivers/auxdisplay,12,0,v3.3
drivers/base,405,12,v3.3
drivers/bcma,51,0,v3.3
drivers/block,255,0,v3.3
drivers/bluetooth,22,0,v3.3
drivers/cdrom,13,0,v3.3
drivers/char,216,3,v3.3
drivers/clk,8,0,v3.3
drivers/clocksource,19,0,v3.3
drivers/connector,16,3,v3.3
drivers/cpufreq,32,0,v3.3
drivers/cpuidle,23,0,v3.3
drivers/crypto,30,0,v3.3
drivers/dca,17,0,v3.3
drivers/devfreq,6,0,v3.3
drivers/dio,6,0,v3.3
drivers/dma,88,1,v3.3
drivers/edac,71,0,v3.3
drivers/eisa,3,0,v3.3
drivers/firewire,45,0,v3.3
drivers/firmware,17,0,v3.3
drivers/gpio,90,0,v3.3
drivers/gpu,2509,21,v3.3
drivers/hid,74,0,v3.3
drivers/hv,40,0,v3.3
drivers/hwmon,20,0,v3.3
drivers/hwspinlock,9,0,v3.3
drivers/i2c,61,0,v3.3
drivers/ide,186,0,v3.3
drivers/idle,2,0,v3.3
drivers/infiniband,1298,0,v3.3
drivers/input,162,0,v3.3
drivers/iommu,123,0,v3.3
drivers/isdn,899,2,v3.3
drivers/leds,20,0,v3.3
drivers/lguest,51,0,v3.3
drivers/macintosh,106,0,v3.3
drivers/mca,27,0,v3.3
drivers/md,331,0,v3.3
drivers/media,2775,12,v3.3
drivers/memstick,15,0,v3.3
drivers/message,113,0,v3.3
drivers/mfd,393,0,v3.3
drivers/misc,272,0,v3.3
drivers/mmc,201,13,v3.3
drivers/mtd,252,4,v3.3
drivers/net,6462,23,v3.3
drivers/nubus,18,0,v3.3
drivers/of,103,3,v3.3
drivers/oprofile,52,0,v3.3
drivers/parisc,41,0,v3.3
drivers/parport,52,0,v3.3
drivers/pci,479,0,v3.3
drivers/pcmcia,96,0,v3.3
drivers/pinctrl,34,0,v3.3
drivers/platform,34,0,v3.3
drivers/pnp,86,0,v3.3
drivers/power,19,3,v3.3
drivers/pps,8,0,v3.3
drivers/ps3,77,0,v3.3
drivers/ptp,9,0,v3.3
drivers/rapidio,35,0,v3.3
drivers/regulator,58,0,v3.3
drivers/rtc,47,10,v3.3
drivers/s390,719,0,v3.3
drivers/sbus,9,0,v3.3
drivers/scsi,3267,1,v3.3
drivers/sfi,12,0,v3.3
drivers/sh,65,0,v3.3
drivers/sn,6,0,v3.3
drivers/spi,44,0,v3.3
drivers/ssb,106,0,v3.3
drivers/staging,4742,1,v3.3
drivers/target,459,0,v3.3
drivers/tc,3,0,v3.3
drivers/telephony,3,0,v3.3
drivers/thermal,8,0,v3.3
drivers/tty,395,0,v3.3
drivers/uio,3,0,v3.3
drivers/usb,903,8,v3.3
drivers/uwb,146,0,v3.3
drivers/vhost,29,9,v3.3
drivers/video,912,0,v3.3
drivers/virt,2,0,v3.3
drivers/virtio,19,5,v3.3
drivers/vlynq,8,0,v3.3
drivers/w1,42,0,v3.3
drivers/watchdog,15,0,v3.3
drivers/xen,177,0,v3.3
drivers/zorro,7,0,v3.3
fs/9p,57,0,v3.3
fs/adfs,7,0,v3.3
fs/affs,35,0,v3.3
fs/afs,110,0,v3.3
fs/autofs4,19,0,v3.3
fs/befs,18,0,v3.3
fs/bfs,2,0,v3.3
